"window_end","date","close","log_ret","time","diff"
"2025-11-25T06:10:00.000000000+0000","2025-11-25 11:35:00+05:30","[""2025-11-25 11:35:00+05:30"",1552.9]","-0.0003219264104035018","1765449415176","1"
"2025-09-09T08:05:00.000000000+0000","2025-09-09 13:30:00+05:30","[""2025-09-09 13:30:00+05:30"",1378.5]","0.000507927304755896","1765449415176","1"
"2025-11-24T08:35:00.000000000+0000","2025-11-24 14:00:00+05:30","[""2025-11-24 14:00:00+05:30"",1535.65]","-0.000553358411333732","1765449415176","1"
"2025-11-21T04:25:00.000000000+0000","2025-11-21 09:50:00+05:30","[""2025-11-21 09:50:00+05:30"",1547.65]","-0.0011946468333943095","1765449415176","1"
"2025-09-02T07:35:00.000000000+0000","2025-09-02 13:00:00+05:30","[""2025-09-02 13:00:00+05:30"",1378.6]","-0.0001088001161608609","1765449415176","1"
"2025-10-10T08:20:00.000000000+0000","2025-10-10 13:45:00+05:30","[""2025-10-10 13:45:00+05:30"",1385.5]","-0.0007215007527996543","1765449415176","1"
"2025-12-11T05:45:00.000000000+0000","2025-12-11 11:10:00+05:30","[""2025-12-11 11:10:00+05:30"",1534.9]","0.0005865293921609894","1765449415176","1"
"2025-09-03T03:50:00.000000000+0000","2025-09-03 09:15:00+05:30","[""2025-09-03 09:15:00+05:30"",1365.1]","0.0","1765449415176","1"
"2025-10-20T06:25:00.000000000+0000","2025-10-20 11:50:00+05:30","[""2025-10-20 11:50:00+05:30"",1460.0]","6.84954964479168e-5","1765449415176","1"
"2025-11-07T06:10:00.000000000+0000","2025-11-07 11:35:00+05:30","[""2025-11-07 11:35:00+05:30"",1493.0]","-0.001004184184802165","1765449415176","1"
"2025-12-03T06:10:00.000000000+0000","2025-12-03 11:35:00+05:30","[""2025-12-03 11:35:00+05:30"",1535.8]","0.001466108722059363","1765449415176","1"
"2025-09-29T08:50:00.000000000+0000","2025-09-29 14:15:00+05:30","[""2025-09-29 14:15:00+05:30"",1375.0]","-0.0001818016548957799","1765449415176","1"
"2025-10-01T07:15:00.000000000+0000","2025-10-01 12:40:00+05:30","[""2025-10-01 12:40:00+05:30"",1370.9]","-0.00036465740840943984","1765449415176","1"
"2025-11-10T06:20:00.000000000+0000","2025-11-10 11:45:00+05:30","[""2025-11-10 11:45:00+05:30"",1495.05]","-0.0005015296759922966","1765449415176","1"
"2025-11-10T08:20:00.000000000+0000","2025-11-10 13:45:00+05:30","[""2025-11-10 13:45:00+05:30"",1494.1]","0.0003347056295262281","1765449415176","1"
"2025-10-16T05:25:00.000000000+0000","2025-10-16 10:50:00+05:30","[""2025-10-16 10:50:00+05:30"",1377.5]","-7.259264639670389e-5","1765449415176","1"
"2025-09-04T08:55:00.000000000+0000","2025-09-04 14:20:00+05:30","[""2025-09-04 14:20:00+05:30"",1360.0]","-0.0007350239213684315","1765449415176","1"
"2025-10-24T09:20:00.000000000+0000","2025-10-24 14:45:00+05:30","[""2025-10-24 14:45:00+05:30"",1449.3]","-0.0003104465280792941","1765449415176","1"
"2025-10-23T06:45:00.000000000+0000","2025-10-23 12:10:00+05:30","[""2025-10-23 12:10:00+05:30"",1464.8]","0.0003414017990894564","1765449415176","1"
"2025-09-05T06:00:00.000000000+0000","2025-09-05 11:25:00+05:30","[""2025-09-05 11:25:00+05:30"",1367.0]","0.0003658313558268845","1765449415176","1"
"2025-12-09T05:55:00.000000000+0000","2025-12-09 11:20:00+05:30","[""2025-12-09 11:20:00+05:30"",1530.6]","-0.00045723244534129413","1765449415176","1"
"2025-09-15T08:05:00.000000000+0000","2025-09-15 13:30:00+05:30","[""2025-09-15 13:30:00+05:30"",1398.2]","-0.00032179058861447126","1765449415176","1"
"2025-11-10T08:05:00.000000000+0000","2025-11-10 13:30:00+05:30","[""2025-11-10 13:30:00+05:30"",1494.6]","0.0","1765449415176","1"
"2025-11-28T07:35:00.000000000+0000","2025-11-28 13:00:00+05:30","[""2025-11-28 13:00:00+05:30"",1571.0]","0.00019097940663449642","1765449415176","1"
