Date,Open,High,Low,Close
11/25/2020,3.564%,3.564%,3.468%,3.468%
11/26/2020,3.468%,3.557%,3.462%,3.462%
11/27/2020,3.462%,3.475%,3.462%,3.475%
11/30/2020,3.475%,3.475%,3.475%,3.475%
12/01/2020,3.475%,3.482%,3.460%,3.482%
12/02/2020,3.482%,3.520%,3.482%,3.520%
12/03/2020,3.520%,3.559%,3.520%,3.559%
12/04/2020,3.559%,3.559%,3.544%,3.544%
12/07/2020,3.544%,3.552%,3.544%,3.552%
12/08/2020,3.552%,3.751%,3.552%,3.751%
12/09/2020,3.751%,3.751%,3.576%,3.576%
12/10/2020,3.576%,3.591%,3.550%,3.550%
12/11/2020,3.550%,3.600%,3.550%,3.600%
12/14/2020,3.600%,3.664%,3.600%,3.664%
12/15/2020,3.664%,3.664%,3.569%,3.569%
12/16/2020,3.569%,3.575%,3.520%,3.520%
12/17/2020,3.520%,3.571%,3.520%,3.571%
12/18/2020,3.571%,3.571%,3.546%,3.546%
12/21/2020,3.546%,3.668%,3.546%,3.668%
12/22/2020,3.668%,3.668%,3.596%,3.596%
12/23/2020,3.596%,3.637%,3.596%,3.637%
12/24/2020,3.637%,3.637%,3.559%,3.559%
12/25/2020,3.559%,3.559%,3.559%,3.559%
12/28/2020,3.559%,3.630%,3.559%,3.630%
12/29/2020,3.630%,3.688%,3.630%,3.688%
12/30/2020,3.688%,3.714%,3.688%,3.714%
12/31/2020,3.714%,3.714%,3.640%,3.640%
01/01/2021,3.640%,3.640%,3.629%,3.629%
01/04/2021,3.629%,3.629%,3.627%,3.627%
01/05/2021,3.627%,3.627%,3.598%,3.598%
01/06/2021,3.598%,3.632%,3.598%,3.632%
01/07/2021,3.632%,3.649%,3.622%,3.622%
01/08/2021,3.622%,3.653%,3.616%,3.653%
01/11/2021,3.653%,4.034%,3.653%,3.696%
01/12/2021,3.696%,3.731%,3.696%,3.731%
01/13/2021,3.731%,3.830%,3.731%,3.830%
01/14/2021,3.830%,3.866%,3.830%,3.847%
01/15/2021,3.847%,3.881%,3.847%,3.881%
01/18/2021,3.881%,3.943%,3.881%,3.943%
01/19/2021,3.943%,4.046%,3.943%,4.046%
01/20/2021,4.046%,4.046%,3.896%,3.896%
01/21/2021,3.896%,4.026%,3.885%,3.932%
01/22/2021,3.932%,4.280%,3.932%,4.280%
01/25/2021,4.280%,4.404%,3.880%,3.880%
01/27/2021,3.880%,3.964%,3.821%,3.821%
01/28/2021,3.821%,3.954%,3.821%,3.954%
01/29/2021,3.954%,4.029%,3.954%,4.029%
02/01/2021,4.029%,4.066%,3.903%,3.941%
02/02/2021,3.941%,3.959%,3.940%,3.940%
02/03/2021,3.959%,3.959%,3.900%,3.900%
02/04/2021,3.900%,4.035%,3.900%,3.953%
02/05/2021,3.953%,3.953%,3.876%,3.876%
02/08/2021,3.906%,4.091%,3.865%,4.091%
02/09/2021,4.091%,4.091%,3.982%,3.982%
02/10/2021,3.982%,4.318%,3.942%,4.070%
02/11/2021,4.070%,4.070%,3.911%,3.911%
02/12/2021,3.911%,3.977%,3.911%,3.977%
02/15/2021,3.977%,4.016%,3.977%,4.016%
02/16/2021,4.016%,4.016%,3.995%,3.995%
02/17/2021,3.995%,4.044%,3.903%,3.903%
02/18/2021,3.903%,3.998%,3.856%,3.998%
02/22/2021,3.896%,3.956%,3.896%,3.930%
02/23/2021,3.930%,3.930%,3.913%,3.913%
02/24/2021,3.913%,3.932%,3.913%,3.922%
02/25/2021,3.922%,4.101%,3.921%,3.949%
02/26/2021,3.949%,3.996%,3.949%,3.952%
03/01/2021,3.975%,3.984%,3.953%,3.974%
03/02/2021,3.974%,3.993%,3.972%,3.972%
03/03/2021,3.972%,4.000%,3.952%,3.952%
03/04/2021,3.952%,4.054%,3.938%,3.967%
03/05/2021,3.967%,4.008%,3.952%,3.952%
03/08/2021,3.952%,4.049%,3.952%,3.996%
03/09/2021,3.996%,4.048%,3.991%,4.048%
03/10/2021,4.048%,4.048%,4.013%,4.013%
03/12/2021,4.009%,4.009%,4.003%,4.003%
03/15/2021,3.976%,4.029%,3.976%,3.996%
03/16/2021,3.996%,3.996%,3.962%,3.962%
03/17/2021,3.962%,4.115%,3.962%,3.972%
03/18/2021,3.972%,3.992%,3.943%,3.965%
03/19/2021,3.965%,4.233%,3.921%,4.233%
03/22/2021,4.233%,4.233%,3.881%,3.881%
03/23/2021,3.881%,3.985%,3.881%,3.884%
03/24/2021,3.884%,3.916%,3.871%,3.871%
03/25/2021,3.871%,3.881%,3.864%,3.864%
03/26/2021,3.864%,3.910%,3.851%,3.851%
03/28/2021,3.851%,3.851%,3.851%,3.851%
03/30/2021,3.851%,3.908%,3.851%,3.896%
03/31/2021,3.896%,3.896%,3.783%,3.783%
04/01/2021,3.783%,3.783%,3.783%,3.783%
04/05/2021,3.783%,4.001%,3.746%,3.885%
04/06/2021,3.885%,4.047%,3.721%,4.047%
04/07/2021,4.047%,4.047%,3.858%,4.034%
04/08/2021,4.034%,4.034%,3.886%,3.886%
04/09/2021,3.886%,3.981%,3.886%,3.922%
04/12/2021,3.815%,4.000%,3.815%,4.000%
04/13/2021,4.000%,4.000%,4.000%,4.000%
04/14/2021,4.000%,4.000%,4.000%,4.000%
04/15/2021,4.000%,4.140%,4.000%,4.140%
04/16/2021,4.140%,4.140%,3.897%,4.067%
04/19/2021,4.067%,4.067%,3.798%,3.798%
04/20/2021,3.798%,4.001%,3.798%,4.001%
04/22/2021,4.001%,4.001%,3.877%,3.877%
04/23/2021,3.877%,4.157%,3.785%,3.908%
04/26/2021,3.908%,3.908%,3.742%,3.742%
04/27/2021,3.742%,4.005%,3.742%,4.005%
04/28/2021,4.005%,4.005%,3.721%,3.721%
