"ticker","date","close_price","open_price","volume","high_price","low_price","abs_change","pct_change","action","stop_loss","take_profit","signal_strength","limit_order","current_price","rsi","macd","macd_signal","macd_hist","vwap","bol_bands","sma","crsi","klinger","keltner","cmo","reason","time","diff"
"BAJAJFINSV","2025-12-10T15:29:06+05:30","2062.9","2061.35","4.0","2062.9","2061.35","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2062.9","42.17712224250241","2.1548272331583576","2.201077349177657","-0.046250116019299625","2069.87442060741","[2072.262486897299,2079.4175131027014]","[2075.84,2070.849]","50.57992801346237","[-30.859864941241884,-34.13310843480107,3.273243493559189]","[2064.6154607341223,2074.8940321626937,2054.336889305551]","-8.888888888888609","""rsi says BUY, bb_low says BUY, klinger says BUY, sma_trend says BUY, macd says SELL, ""","1765438858760","1"
"TATASTEEL","2025-12-10T15:29:15+05:30","162.0","162.1","2605.0","162.1","161.9","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","162.0","42.367504609386366","0.16204660929207648","0.1642402614333567","-0.002193652141280228","162.60272570640586","[163.06650376886802,163.663496231132]","[163.365,162.99299999999997]","45.30063490612557","[-1138.1869117990605,-753.4537529413597,-384.7331588577008]","[162.13330830514766,162.6261654480048,161.64045116229053]","-19.999999999998863","""rsi says BUY, bb_low says BUY, sma_trend says BUY, macd says SELL, klinger says SELL, ""","1765438858760","1"
"NESTLEIND","2025-12-10T15:29:31+05:30","1208.6","1208.3","44.0","1208.6","1208.3","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1208.6","47.021417176623345","0.5422746141291555","0.5289766505734472","0.013297963555708224","1208.7662687033564","[1212.198855016699,1214.3561449833007]","[1213.2775,1212.1779999999997]","46.2696186582394","[-9.2517107877097,-10.6900022519083,1.438291464198599]","[1208.784205489156,1211.9413483462988,1205.6270626320131]","-1.2048192771129225","""macd says BUY, bb_low says BUY, klinger says BUY, sma_trend says BUY, ""","1765438858760","1"
"ULTRACEMCO","2025-12-10T15:29:03+05:30","11315.0","11315.2","90.0","11328.8","11315.0","0.0","0.0","BUY","11305.371428571429","11329.442857142856","5.0","11312.592857142858","11315.0","44.90525719055947","3.6461328442273953","3.1576402746515635","0.48849256957583176","11358.9776061142","[11373.603259580776,11387.491740419227]","[11380.547500000002,11374.208]","45.778207490968065","[-94.68556457292952,-101.2239667077126,6.538402134783084]","[11318.892843671423,11338.149986528568,11299.635700814282]","-10.45104510451112","""macd says BUY, rsi says BUY, bb_low says BUY, klinger says BUY, sma_trend says BUY, ""","1765438858760","1"
"COALINDIA","2025-12-10T15:29:40+05:30","381.35","381.65","87.0","382.0","381.2","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","381.35","42.21327520101865","0.11482688809149975","0.0879402040265839","0.026886684064915872","381.4850801628338","[382.1085795957361,382.68642040426386]","[382.3975,382.253]","39.90941678265438","[-673.1469804877694,-534.1037251935054,-139.043255294264]","[381.8492952169556,383.3064380740985,380.3921523598128]","-17.14285714285589","""macd says BUY, rsi says BUY, bb_low says BUY, sma_trend says BUY, klinger says SELL, ""","1765438858760","1"
"HCLTECH","2025-12-10T15:28:48+05:30","1664.05","1666.5","184.0","1667.2","1664.05","0.0","0.0","BUY","1661.8821428571428","1667.3017857142856","5.0","1663.5080357142856","1664.05","42.81450616559222","0.3650812285502525","0.2564740537787016","0.10860717477155092","1663.5001635644564","[1664.8781733260262,1666.6968266739736]","[1665.7875,1665.3719999999998]","32.01390357803553","[140.0797001417675,134.04955957965169,6.030140562115804]","[1665.1023644720194,1669.4380787577336,1660.7666501863052]","-21.951219512196204","""macd says BUY, rsi says BUY, bb_low says BUY, klinger says BUY, sma_trend says BUY, ""","1765438858760","1"
"GRASIM","2025-12-10T15:29:43+05:30","2744.0","2744.0","0.0","2744.0","2744.0","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2744.0","42.13425708319583","1.9862193562830728","1.825707144647395","0.16051221163567764","2752.1808359807055","[2762.002176246692,2768.1028237533096]","[2765.0525000000007,2760.2509999999997]","33.74683213273632","[-0.45010298830427775,-0.600321469107865,0.15021848080358724]","[2745.8612461236035,2753.539817552175,2738.182674695032]","-7.909604519774403","""""","1765438858760","1"
"ITC","2025-12-10T15:28:32+05:30","403.05","403.25","1470.0","403.5","403.05","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","403.05","42.09523809523803","0.10752303779554497","0.07652151840040551","0.03100151939513944","403.0714737997526","[0.0,0.0]","[0.0,0.0]","49.239930244375365","[363.678096931561,183.19962433895392,180.4784725926071]","[403.1190494348101,404.0119065776672,402.2261922919529]","3.030303030303657","""macd says BUY, rsi says BUY, klinger says BUY, ""","1765438858760","1"
"BAJAJFINSV","2025-12-10T15:29:06+05:30","2062.9","2061.35","4.0","2062.9","2061.35","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2062.9","42.27119671540321","0.8810696668269884","0.7759922462225797","0.10507742060440872","2072.6910213918204","[2078.378953806546,2081.8210461934527]","[2080.0999999999995,2078.569000000001]","50.097169392647494","[-8.775464811507568,-8.144085793448562,-0.6313790180590058]","[2064.6138081813388,2074.89237960991,2054.3352367527673]","-8.888888888888609","""macd says BUY, rsi says BUY, bb_low says BUY, sma_trend says BUY, klinger says SELL, ""","1765438858760","1"
"ADANIENT","2025-12-10T15:29:37+05:30","2214.85","2212.0","97.0","2216.25","2212.0","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2214.85","50.18776599144473","1.2456065473793387","1.0146300457688229","0.23097650161051583","2226.2376136212124","[2243.7636691539924,2249.001330846007]","[2246.3824999999997,2244.5]","59.966874290787246","[25.37670977712753,-60.98099053889728,86.35770031602482]","[2213.440011530648,2225.8542972449336,2201.0257258163624]","0.24449877750477497","""macd says BUY, bb_low says BUY, klinger says BUY, sma_trend says BUY, ""","1765438858760","1"
